,coin,author
885,,unicorngo
886,,ccworld
887,,oturanbilboa
888,,crypto101blog
889,,crypto-daily
890,,teejayrichard
891,,craftyapp
892,,themichaelmatch
893,,pharmacy-jinni
894,,maestroq
895,,enahsgeaux
896,,ramsteem
897,,maestroq
898,,anaroy
899,,tradingwhale
900,,josearteaga
901,,thehermitmonk
902,,tux6845
903,,cryptodudes
904,,ameno
905,,rayka
906,,ccworld
907,,romanbitcoin
908,,maestroq
909,,bitrace1
910,,elleok
911,,rayka
912,,jonnyla08
913,,mahyardean
914,,maestroq
915,,jangdoil
916,,ericwilson
917,,exxodus
918,,bisiland
919,,maestroq
920,,tizswa
921,,blockchainheros
922,,ridwanputra
923,,dmae
924,,danizaharie
925,,cryptowolfpack
926,,thecryptoniac
927,,juliawilliams
928,,maestroq
929,,bitcointutorial
930,,thebusinessman
931,,juliawilliams
932,,upvoter1
933,,cryptobobby
934,,meryn
935,,maestroq
936,,miguelportela
937,,dhimanyog
938,,wargof
939,,achim86
940,,gruto
941,,baki87
942,,jason7282
943,,ataayo
944,,fluffywiggle
945,,cryptowolfpack
946,,boico
947,,laloutre
948,,papa-ron
949,,erikklok
950,,offgridlife
951,,utrading
952,,crptodee
953,,cryptowolfpack
954,,xak
955,,ahmadali
956,,papa-ron
957,,laloutre
958,,seanengman
959,,scorpeus
960,,purechocola
961,,ajaramillo
962,,internetfame
963,,zionel01
964,,frogtron
965,,zionel01
966,,satish143
967,,opietaylor
968,,cashout11
969,,ajaramillo
970,,stemerica
971,,cryptocloutlord
972,,andyhoffman
973,,dogeofwallstreet
974,,lokesh16
975,,barrydutton
976,,pidongmo
977,,etherworld
978,,osmondyang
979,,bitcoinquest
980,,louisthomas
981,,sam1983
982,,thomasjames
983,,btcmacroecon
984,,slickk
985,,cowboyinvestor
986,,thinkinghuman
987,,cowboyinvestor
988,,escape
